단위,억달러,한국,한국,한국,중국,중국,중국,미국,미국,미국,ROW,ROW,ROW,한국,중국,미국,ROW,총계
국가,산업,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,최종수요,최종수요,최종수요,최종수요,총수요
한국,농산품,25,282,102,0,0,0,0,2,1,1,2,1,152,1,1,2,572
한국,공산품,110,5596,2593,50,1246,295,4,193,136,61,1301,602,2458,391,355,1294,16685
한국,서비스,85,2633,5421,11,139,99,0,17,42,8,144,270,11611,128,82,287,20977
중국,농산품,0,4,1,4389,9691,1500,3,9,3,12,50,13,3,5509,5,67,21259
중국,공산품,7,532,183,4571,80946,34018,18,881,948,181,4780,2978,233,32206,2370,6996,171848
중국,서비스,1,60,84,2400,26110,34909,2,86,183,27,553,1042,122,89619,398,1455,157051
미국,농산품,1,13,4,20,47,8,830,2088,200,43,164,29,7,27,1022,163,4666
미국,공산품,4,217,93,30,574,168,677,16658,14548,148,3356,1740,115,327,25747,3968,68370
미국,서비스,3,95,118,27,242,234,1003,14951,91821,107,1748,3755,169,610,166837,4208,285928
ROW,농산품,2,25,10,139,312,42,71,233,77,5052,12511,3110,16,175,136,16374,38285
ROW,공산품,18,1965,637,269,8032,1982,91,5096,2851,4449,91300,53282,545,2151,7265,94695,274628
ROW,서비스,7,312,392,136,1471,1181,41,976,2436,5001,57042,174441,373,2800,4089,342047,592745
세금_한국,세금_한국,8,336,475,0,0,0,0,0,0,0,0,0,651,3,1,3,1477
세금_중국,세금_중국,0,0,0,-182,4288,2865,0,0,0,0,0,0,-1,4052,-1,-4,11017
세금_미국,세금_미국,0,0,0,0,0,0,27,939,2194,0,0,0,5,19,4229,68,7481
세금_ROW,세금_ROW,0,0,0,0,0,0,0,0,0,547,7332,11773,4,57,56,21711,41480
부가가치,부가가치,301,4615,10864,9399,38750,79750,1899,26241,170488,22648,94345,339709,0,0,0,0,799009
총투입계,총투입계,572,16685,20977,21259,171848,157051,4666,68370,285928,38285,274628,592745,0,0,0,0,1653014
