부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,45,15,0,0,0,-1,0,1,15,60
광산품,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
음식료품,9,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,1,0,1,0,2,2,0,0,73,52,0,0,0,1,0,9,62,135
섬유 및 가죽제품,0,0,0,9,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,2,2,1,0,1,0,1,1,1,0,1,1,1,0,26,16,0,0,0,1,0,23,40,66
"목재 및 종이, 인쇄",1,0,3,0,10,0,2,0,0,1,0,1,0,0,1,0,0,0,4,3,1,1,2,2,0,3,0,1,1,1,1,1,0,40,1,0,0,0,1,0,4,6,46
석탄 및 석유제품,1,0,0,0,0,3,16,2,1,1,0,0,0,1,0,1,3,0,2,5,18,1,0,0,1,3,1,2,2,2,1,1,0,68,15,0,0,0,1,0,52,68,136
화학제품,4,0,4,4,3,2,56,1,1,4,7,7,5,16,2,2,2,1,9,3,2,2,1,0,0,5,1,1,1,20,1,3,0,170,3,0,0,0,5,0,101,109,279
비금속광물제품,0,0,1,0,0,0,1,5,2,0,2,1,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,5,5,40
1차 금속제품,0,0,0,0,0,0,1,1,29,17,3,8,11,13,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1,0,-3,0,1,0,44,41,141
금속가공제품,0,0,2,0,0,1,2,1,1,13,2,4,13,14,1,1,1,0,21,0,1,1,0,0,0,1,0,0,0,0,0,1,0,81,1,0,3,3,1,0,12,20,101
