code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
code,name,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
A,농림수산품,2876469 ,5478 ,29415516 ,40397 ,373431 ,7074 ,333434 ,8015 ,16787 ,16584 ,19653 ,6801 ,19782 ,14290 ,33826 ,527516 ,5644 ,7357 ,446439 ,113549 ,27652 ,8557096 ,35357 ,52364 ,9516 ,148208 ,20104 ,293670 ,108013 ,1078895 ,162072 ,82512 ,44863501 ,14148082 ,0 ,392372 ,15171 ,1265470 ,0 ,687127 ,16508222 ,61371723 
B,광산품,1031 ,2070 ,22453 ,3816 ,6506 ,114771 ,254211 ,2880004 ,284704 ,19763 ,21771 ,5476 ,10352 ,3257 ,4088 ,16951 ,86064 ,39978 ,221854 ,0 ,0 ,2971 ,0 ,0 ,117 ,7716 ,5368 ,5733 ,158 ,5391 ,1155 ,1038 ,4028769 ,3971 ,0 ,0 ,0 ,-36722 ,0 ,129200 ,96449 ,4125218 
C01,음식료품,9118213 ,8905 ,14800106 ,170916 ,63302 ,38235 ,925058 ,38483 ,82483 ,82000 ,71235 ,35288 ,90669 ,82395 ,10890 ,685475 ,30889 ,34384 ,83552 ,1137949 ,267854 ,34009025 ,233821 ,304431 ,8897 ,1108809 ,297123 ,913905 ,387963 ,1421387 ,1984826 ,491134 ,69019603 ,45693067 ,0 ,0 ,0 ,58550 ,0 ,7376000 ,53127617 ,122147220 
C02,섬유 및 가죽제품,553346 ,11635 ,148768 ,11441651 ,284342 ,64890 ,1265443 ,124270 ,234943 ,388125 ,226143 ,192289 ,184098 ,1352571 ,999327 ,1615831 ,75178 ,150323 ,288067 ,1239787 ,1117118 ,792517 ,192943 ,337553 ,99773 ,467758 ,608091 ,718091 ,264279 ,650308 ,467576 ,827016 ,27384049 ,16638110 ,0 ,79953 ,10973 ,760906 ,0 ,34455146 ,51945088 ,79329137 
C03,"목재 및 종이, 인쇄",686902 ,13185 ,2223115 ,500537 ,9258199 ,131859 ,1587526 ,435980 ,294854 ,771015 ,517145 ,706345 ,413069 ,321077 ,1298484 ,507315 ,48838 ,56951 ,3897126 ,2680708 ,1076081 ,863645 ,2062908 ,1538903 ,140240 ,3041974 ,376055 ,533444 ,794884 ,516940 ,456868 ,623780 ,38375950 ,872744 ,0 ,0 ,0 ,71195 ,0 ,3594127 ,4538066 ,42914016 
C04,석탄 및 석유제품,1249829 ,96715 ,288716 ,229605 ,142571 ,1906509 ,12738445 ,1352803 ,564218 ,477164 ,270992 ,284516 ,363763 ,849191 ,64193 ,617250 ,2298639 ,264166 ,1691099 ,4367850 ,15410805 ,942128 ,387437 ,309329 ,667828 ,2162067 ,441496 ,1333562 ,1646751 ,1485570 ,390411 ,782325 ,56077944 ,13439113 ,0 ,0 ,0 ,366141 ,0 ,40266835 ,54072089 ,110150033 
C05,화학제품,3968650 ,123688 ,2841182 ,5625970 ,2559899 ,1512596 ,50040853 ,1278602 ,1390705 ,4667528 ,11644009 ,6316056 ,4345298 ,16254229 ,1957024 ,2206395 ,1872442 ,505474 ,8482954 ,3253750 ,1706552 ,1625545 ,557119 ,190045 ,142001 ,4542983 ,1452408 ,529718 ,627227 ,14717441 ,580254 ,3271573 ,160790171 ,3157355 ,0 ,0 ,0 ,-607272 ,0 ,82042908 ,84592991 ,245383162 
C06,비금속광물제품,18929 ,8385 ,573357 ,42431 ,18340 ,66468 ,768371 ,5174580 ,2085100 ,407728 ,4028065 ,686872 ,255966 ,1173034 ,149903 ,182803 ,-55913 ,107576 ,19882777 ,65309 ,96999 ,297345 ,11005 ,6548 ,50021 ,168516 ,83023 ,98503 ,60636 ,63372 ,159797 ,71314 ,36807159 ,13453 ,0 ,0 ,0 ,-31008 ,0 ,2889084 ,2871529 ,39678688 
C07,1차 금속제품,52605 ,5576 ,7114 ,16995 ,39925 ,173352 ,941639 ,627837 ,23475603 ,15702522 ,2964594 ,7198479 ,9622363 ,14788492 ,1029644 ,951052 ,89478 ,78861 ,11477985 ,-26721 ,38929 ,1269 ,-4243 ,-46 ,803 ,295395 ,-290 ,1180 ,-17869 ,70392 ,-1714 ,2257 ,89603459 ,-563698 ,0 ,-2448262 ,-63985 ,-1235910 ,105316 ,39517282 ,35310743 ,124914202 
