단위,억달러,한국,한국,한국,중국,중국,중국,미국,미국,미국,ROW,ROW,ROW,한국,중국,미국,ROW,총계
국가,산업,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,최종수요,최종수요,최종수요,최종수요,총수요
한국,농산품,25,247,91,0,0,0,0,3,1,1,3,1,143,0,1,2,518
한국,공산품,111,5200,2638,59,1097,340,10,194,177,67,1120,536,1623,278,349,891,14690
한국,서비스,62,2314,5377,19,198,147,2,29,82,14,203,345,11605,105,81,263,20846
중국,농산품,1,6,2,4912,10317,1336,6,19,4,33,106,21,2,5712,6,76,22559
중국,공산품,10,585,235,4625,84294,37897,42,882,1179,270,5551,3633,253,28453,1978,6876,176763
중국,서비스,2,79,116,1885,23537,36089,5,112,283,47,780,1494,83,101032,351,1508,167403
미국,농산품,2,15,5,59,152,17,780,1964,151,100,309,49,5,40,997,191,4836
미국,공산품,5,166,90,36,458,172,728,13286,12736,174,2690,1463,81,179,24792,2537,59593
미국,서비스,4,115,144,50,368,272,770,11902,93573,186,2134,4374,90,419,175868,3750,294019
ROW,농산품,3,31,14,198,518,58,142,473,94,6903,13976,3827,13,135,147,14938,41470
ROW,공산품,21,1384,577,391,9590,2504,214,4385,3307,5434,94038,56690,393,1836,6106,78862,265732
ROW,서비스,10,346,444,225,2225,1686,113,1374,3809,4520,52110,185443,296,1867,3605,339146,597219
세금,세금,6,227,351,120,2861,2491,26,679,1479,436,4177,8405,737,4879,5227,24770,56871
부가가치,부가가치,256,3975,10762,9980,41148,84394,1998,24291,177144,23285,88535,330938,0,0,0,0,796706
총투입계,총투입계,518,14690,20846,22559,176763,167403,4836,59593,294019,41470,265732,597219,0,0,0,0,1665648
