부문,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,0,4,12
광산품,0,0,0,0,0,77,6,1,23,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,2,0,0,2,146
음식료품,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,15,33
섬유 및 가죽제품,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,1,20,31
"목재 및 종이, 인쇄",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
석탄 및 석유제품,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,1,29
화학제품,1,0,0,2,0,1,34,1,0,0,12,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,64,8,0,0,0,1,0,3,12,76
비금속광물제품,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
1차 금속제품,0,0,0,0,0,0,1,0,21,3,3,3,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40
금속가공제품,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,2,7
"컴퓨터, 전자 및 광학기기",0,0,0,0,0,0,0,0,0,0,49,2,3,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,65,12,0,16,3,1,0,1,33,98
전기장비,0,0,0,0,0,0,0,0,0,0,4,6,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,0,0,0,5,20
기계 및 장비,0,0,0,0,0,0,0,0,0,0,1,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,20,0,0,0,0,21,37
운송장비,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,10,3,0,0,0,22,30
기타 제조업 제품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,1,0,8,9
제조임가공 및 산업용 장비 수리,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
"전력, 가스 및 증기",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
