code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
code,name,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업 제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송 서비스,금융 및 보험 서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지 서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
A,농림수산품,348818 ,14 ,6069885 ,715642 ,619017 ,0 ,802137 ,0 ,0 ,0 ,0 ,0 ,0 ,444 ,2655 ,9098 ,0 ,0 ,54386 ,1016 ,0 ,601678 ,0 ,0 ,0 ,3593 ,141 ,10645 ,1408 ,72271 ,3466 ,0 ,9316314 ,2859389 ,0 ,37840 ,904 ,-56458 ,0 ,0 ,2841675 ,12157989 
B,광산품,0 ,0 ,4042 ,1127 ,19766 ,57373388 ,5153512 ,533000 ,17251517 ,6014 ,2680 ,977 ,1895 ,2399 ,1350 ,13982 ,31856754 ,0 ,43083 ,0 ,0 ,1324 ,0 ,0 ,0 ,8878 ,0 ,7 ,0 ,0 ,0 ,0 ,112275695 ,9080 ,0 ,0 ,0 ,-88071 ,0 ,0 ,-78991 ,112196704 
C01,음식료품,159175 ,0 ,8396734 ,656054 ,12575 ,36949 ,314791 ,0 ,0 ,1 ,73 ,0 ,1 ,0 ,0 ,10016 ,1 ,0 ,0 ,936 ,3413 ,4956897 ,2285 ,7 ,56 ,45790 ,13410 ,565 ,295 ,331639 ,44252 ,54 ,14985969 ,11043413 ,0 ,0 ,0 ,-3147 ,0 ,160286 ,11200552 ,26186521 
C02,섬유 및 가죽제품,113019 ,0 ,20889 ,11602446 ,157118 ,373 ,452758 ,14189 ,2847 ,45257 ,203761 ,32117 ,23267 ,172168 ,202202 ,101580 ,2577 ,16214 ,50444 ,286011 ,49111 ,26384 ,12891 ,25195 ,3964 ,37108 ,44080 ,9591 ,6200 ,48080 ,23993 ,37604 ,13823438 ,13722005 ,0 ,50060 ,5886 ,214419 ,0 ,584350 ,14576720 ,28400158 
C03,"목재 및 종이, 인쇄",5128 ,0 ,166641 ,408207 ,4573362 ,662 ,88666 ,16825 ,6506 ,47202 ,177942 ,54877 ,17354 ,19442 ,447420 ,10968 ,171957 ,623 ,878077 ,70758 ,21045 ,82606 ,130695 ,6754 ,1056 ,32431 ,13086 ,52950 ,10952 ,10655 ,40423 ,2795 ,7568065 ,384450 ,0 ,0 ,0 ,31657 ,0 ,0 ,416107 ,7984172 
C04,석탄 및 석유제품,46984 ,2024 ,50028 ,78902 ,90183 ,2440900 ,13669577 ,239240 ,140483 ,190616 ,57367 ,52199 ,25499 ,79410 ,8921 ,220674 ,922851 ,7212 ,22412 ,506482 ,6266745 ,496763 ,14836 ,7088 ,26239 ,138462 ,42337 ,10473 ,310206 ,94324 ,29829 ,141799 ,26431065 ,1294159 ,0 ,0 ,0 ,145970 ,0 ,0 ,1440129 ,27871194 
C05,화학제품,821732 ,1803 ,386893 ,1535923 ,402234 ,606806 ,31140598 ,504132 ,203457 ,501217 ,10189849 ,1184921 ,421446 ,1570906 ,290631 ,167088 ,56190 ,71861 ,401401 ,111541 ,106723 ,76055 ,83530 ,2301 ,449 ,689164 ,116072 ,8093 ,28227 ,5223499 ,21953 ,248889 ,57175584 ,4948480 ,0 ,0 ,0 ,-10040 ,0 ,836060 ,5774500 ,62950084 
C06,비금속광물제품,194 ,8 ,34840 ,1960 ,2348 ,4633 ,237069 ,1598316 ,401387 ,103133 ,1334773 ,544183 ,163856 ,511978 ,31909 ,16785 ,10602 ,1337 ,1839894 ,4979 ,1769 ,64728 ,15 ,228 ,92 ,28839 ,74 ,87 ,1410 ,5936 ,20 ,29448 ,6976830 ,228675 ,0 ,0 ,0 ,13118 ,0 ,0 ,241793 ,7218623 
C07,1차 금속제품,642 ,12 ,0 ,7848 ,461 ,8746 ,952319 ,26168 ,21929969 ,3067804 ,2677141 ,2805608 ,1079782 ,5247649 ,312779 ,66862 ,35119 ,4345 ,2313091 ,14 ,47770 ,0 ,0 ,0 ,1 ,48063 ,199 ,0 ,0 ,100280 ,0 ,564 ,40733236 ,7376 ,0 ,0 ,0 ,-484137 ,101024 ,0 ,-375737 ,40357499 
C08,금속가공제품,2222 ,5838 ,93521 ,117120 ,16177 ,19244 ,196518 ,36650 ,64955 ,1585534 ,447020 ,262744 ,615673 ,1980836 ,128774 ,100068 ,49375 ,1803 ,523745 ,63034 ,60500 ,120826 ,4368 ,8526 ,1826 ,68696 ,14352 ,240149 ,6805 ,2344 ,2430 ,28084 ,6869757 ,619121 ,0 ,247106 ,595538 ,6307 ,0 ,0 ,1468072 ,8337829 
C09,"컴퓨터, 전자 및 광학기기",752 ,26 ,574 ,1415 ,16675 ,7367 ,73797 ,14514 ,16670 ,33372 ,51971148 ,2393226 ,1367597 ,3394453 ,12313 ,165026 ,116222 ,5572 ,197926 ,78040 ,75529 ,13644 ,2831785 ,130097 ,36979 ,1647823 ,57390 ,242881 ,413264 ,1166955 ,21443 ,301692 ,66806167 ,8184351 ,0 ,11996642 ,815342 ,243453 ,0 ,415108 ,21654896 ,88461063 
C10,전기장비,151 ,13 ,80 ,1930 ,242 ,1240 ,35995 ,6931 ,48987 ,69635 ,2831236 ,4847952 ,1117706 ,2957998 ,12499 ,135293 ,276713 ,367 ,1124567 ,5865 ,93809 ,17471 ,33046 ,285 ,3342 ,144565 ,27788 ,37647 ,5115 ,8577 ,10082 ,138309 ,13995436 ,1327595 ,0 ,3022414 ,45103 ,63676 ,0 ,17307 ,4476095 ,18471531 
C11,기계 및 장비,6106 ,2490 ,25874 ,41998 ,5306 ,36772 ,271497 ,20523 ,107035 ,319298 ,663569 ,413352 ,9224860 ,3618153 ,8176 ,423985 ,196679 ,15372 ,1030590 ,57779 ,70739 ,2037 ,9792 ,9409 ,5572 ,149484 ,20935 ,54219 ,2784 ,13920 ,805 ,21735 ,16850845 ,337434 ,0 ,21493616 ,77659 ,47840 ,0 ,0 ,21956549 ,38807394 
C12,운송장비,850 ,98 ,0 ,461 ,18 ,31 ,18284 ,3941 ,4432 ,17380 ,7377 ,28334 ,92905 ,6154227 ,794 ,3173 ,1814 ,624 ,446 ,7510 ,1884300 ,4058 ,4137 ,0 ,18 ,140928 ,7497 ,283423 ,3275 ,717 ,489 ,384219 ,9055760 ,7377217 ,0 ,11849056 ,1325238 ,260556 ,0 ,0 ,20812067 ,29867827 
C13,기타 제조업 제품,77 ,9 ,6940 ,263243 ,2400 ,376 ,8720 ,246 ,583 ,2497 ,7457 ,1257 ,1307 ,26547 ,566258 ,18933 ,722 ,7804 ,154469 ,87838 ,15099 ,72086 ,20939 ,29418 ,3705 ,46661 ,37584 ,21441 ,323734 ,53062 ,173121 ,18325 ,1972858 ,3657063 ,0 ,771230 ,38932 ,111207 ,411062 ,112785 ,5102279 ,7075137 
C14,제조임가공 및 산업용 장비 수리,132 ,0 ,7337 ,6806655 ,8622 ,2880 ,175179 ,2119 ,16608 ,63451 ,1793036 ,635761 ,42314 ,59907 ,140940 ,0 ,23 ,3 ,1 ,49466 ,489 ,271 ,4664 ,6680 ,9 ,16985 ,14384 ,7688 ,137 ,147 ,1844 ,2 ,9857734 ,80 ,0 ,0 ,0 ,0 ,0 ,0 ,80 ,9857814 
D,"전력, 가스 및 증기",2 ,1 ,52 ,329 ,98 ,3431 ,4699 ,35 ,1640 ,368 ,9386 ,615 ,449 ,7805 ,5 ,9 ,4 ,3 ,0 ,950 ,80 ,188 ,184 ,174 ,174 ,778 ,498 ,7253 ,28 ,3 ,107 ,1 ,39349 ,65851 ,0 ,0 ,0 ,0 ,0 ,0 ,65851 ,105200 
E,"수도, 폐기물처리 및 재활용서비스",11 ,0 ,36 ,17 ,10 ,77 ,388 ,9 ,112 ,49 ,245 ,18 ,42 ,850 ,1 ,3 ,32 ,83 ,5 ,511 ,39 ,286 ,45 ,94 ,177 ,187 ,126 ,651 ,96 ,244 ,46 ,35 ,4525 ,16766 ,0 ,0 ,0 ,0 ,0 ,0 ,16766 ,21291 
F,건설,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,13 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42833 ,0 ,0 ,0 ,0 ,42855 ,0 ,0 ,0 ,16539 ,0 ,0 ,0 ,16539 ,59394 
G,도소매 및 상품중개서비스,7092 ,477 ,74678 ,170087 ,31948 ,309137 ,459487 ,19651 ,269553 ,60080 ,826850 ,142572 ,209588 ,524874 ,16248 ,4441 ,52995 ,395 ,27197 ,82923 ,27938 ,17779 ,10273 ,641 ,253 ,9959 ,1178 ,3042 ,3263 ,21500 ,1206 ,4206 ,3391511 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3391511 
H,운송서비스,184400 ,5064 ,32699 ,18078 ,6229 ,10195 ,93568 ,21348 ,39826 ,36621 ,85036 ,20046 ,41058 ,46727 ,3078 ,15109 ,1677 ,20653 ,6987 ,583383 ,15470980 ,8090 ,28204 ,45949 ,4904 ,89690 ,66540 ,157548 ,13436 ,9276 ,9495 ,9990 ,17185884 ,6246877 ,0 ,0 ,0 ,0 ,0 ,0 ,6246877 ,23432761 
I,음식점 및 숙박서비스,22405 ,1969 ,13786 ,13362 ,13073 ,10249 ,49723 ,10551 ,25670 ,22660 ,31958 ,13087 ,28780 ,32625 ,3481 ,25417 ,6737 ,7808 ,18888 ,229891 ,225767 ,33531 ,107801 ,121966 ,22898 ,227515 ,77590 ,124282 ,147932 ,51662 ,52332 ,102124 ,1877520 ,11680866 ,0 ,0 ,0 ,0 ,0 ,0 ,11680866 ,13558386 
J,정보통신 및 방송 서비스,6283 ,297 ,4134 ,4911 ,6637 ,12183 ,18291 ,2662 ,19112 ,8028 ,52496 ,7306 ,11611 ,25889 ,804 ,11858 ,5045 ,7360 ,12557 ,132079 ,58812 ,4950 ,2124072 ,349306 ,8745 ,415471 ,31389 ,140928 ,79857 ,15440 ,71345 ,16797 ,3666655 ,1486029 ,0 ,768077 ,10654 ,2383 ,0 ,0 ,2267143 ,5933798 
K,금융 및 보험 서비스,14427 ,2198 ,19898 ,12929 ,11960 ,8364 ,44106 ,10697 ,23803 ,25335 ,43382 ,21032 ,32704 ,50556 ,5173 ,12887 ,12436 ,7680 ,96138 ,144443 ,38363 ,28978 ,33533 ,1077831 ,392779 ,60258 ,11576 ,67430 ,27372 ,52162 ,17080 ,24350 ,2431860 ,704737 ,0 ,0 ,0 ,0 ,0 ,0 ,704737 ,3136597 
L,부동산서비스,45 ,12 ,2138 ,4225 ,1073 ,13124 ,39705 ,279 ,1757 ,1398 ,26086 ,7470 ,7499 ,74432 ,694 ,131 ,43 ,55 ,1132 ,377143 ,16273 ,39207 ,23379 ,20736 ,3245 ,114773 ,42407 ,362392 ,1507 ,2519 ,8319 ,1738 ,1194936 ,589893 ,0 ,0 ,0 ,0 ,0 ,0 ,589893 ,1784829 
M,"전문, 과학 및 기술 서비스",19398 ,1944 ,252434 ,127223 ,74445 ,286568 ,1229164 ,64706 ,632228 ,207443 ,2517474 ,482052 ,512539 ,2085183 ,40893 ,11972 ,83594 ,22838 ,1135253 ,1788929 ,326440 ,157166 ,1918043 ,984773 ,80158 ,2072683 ,343576 ,206245 ,114089 ,49891 ,164545 ,44758 ,18038647 ,5748 ,0 ,5652111 ,263196 ,0 ,0 ,0 ,5921055 ,23959702 
N,사업지원서비스,19188 ,3574 ,51617 ,56297 ,56220 ,167037 ,262414 ,19422 ,307934 ,90189 ,441441 ,115523 ,93538 ,868316 ,12559 ,97744 ,82799 ,94537 ,122964 ,1938022 ,2729646 ,122190 ,897639 ,1260895 ,363334 ,1105093 ,1342128 ,142012 ,127588 ,90575 ,259656 ,28310 ,13370401 ,345575 ,0 ,0 ,0 ,0 ,0 ,0 ,345575 ,13715976 
O,"공공행정, 국방 및 사회보장",96380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,509260 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,605640 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,605640 
P,교육서비스,6 ,0 ,78 ,40 ,53 ,300 ,293 ,37 ,139 ,97 ,161 ,62 ,107 ,185 ,9 ,419 ,55 ,40 ,124 ,1908 ,108 ,141 ,271 ,889 ,61 ,468 ,101 ,0 ,159 ,48 ,29 ,209 ,6597 ,2322148 ,0 ,0 ,0 ,0 ,0 ,0 ,2322148 ,2328745 
Q,보건 및 사회복지 서비스,1258 ,2 ,84 ,69 ,53 ,8 ,289 ,64 ,41 ,132 ,102 ,68 ,177 ,198 ,23 ,57 ,37 ,32 ,171 ,1630 ,128 ,229 ,282 ,694 ,24 ,583 ,261 ,808 ,355 ,1333 ,127 ,59 ,9378 ,766938 ,0 ,0 ,0 ,0 ,0 ,0 ,766938 ,776316 
R,"예술, 스포츠 및 여가 관련 서비스",302 ,65 ,516 ,557 ,516 ,280 ,3080 ,357 ,1212 ,858 ,1345 ,338 ,1154 ,1516 ,83 ,1067 ,278 ,393 ,915 ,13240 ,3056 ,1069 ,181417 ,9962 ,1199 ,26585 ,3403 ,8583 ,2426 ,1766 ,45406 ,7949 ,320893 ,4000785 ,0 ,14541 ,0 ,0 ,25131 ,0 ,4040457 ,4361350 
S,기타 서비스,3466 ,244 ,2845 ,1064 ,1939 ,8159 ,15937 ,971 ,4872 ,3909 ,48829 ,9706 ,10296 ,28257 ,440 ,4196 ,2884 ,1266 ,4391 ,92510 ,7010 ,5169 ,14549 ,9243 ,10481 ,28539 ,11224 ,4019 ,3345 ,2082 ,3494 ,15757 ,361093 ,268235 ,0 ,0 ,0 ,0 ,0 ,0 ,268235 ,629328 
9590,중간투입계,1880645 ,28182 ,15719273 ,22650119 ,6130758 ,61369479 ,55812562 ,3167583 ,41523335 ,6509578 ,76449233 ,14077403 ,15145004 ,29543938 ,2251112 ,1648841 ,33946215 ,296280 ,10061254 ,6718831 ,28110941 ,6955801 ,8492675 ,4109141 ,971740 ,7400052 ,2341326 ,2247885 ,1635265 ,7430907 ,1007337 ,1609802 ,477242497 ,84500336 ,0 ,55902693 ,3194991 ,498733 ,537217 ,2125896 ,146759866 ,624002363 
