	농산품	공산품	서비스	중간수요계	소비	투자	수출	최종수요계	총수요계
농산품	4.544	35.667	9.207	49.418	16.01	2.646	0.83	19.485	68.904
공산품	17.766	773.168	296.417	1087.351	166.514	137.44	456.483	760.437	1847.788
서비스	5.781	220.273	464.035	690.089	740.29	310.398	78.546	1129.235	1819.324
중간투입계	28.091	1029.108	769.66	1826.859	922.814	450.485	535.859	1909.158	3736.016
피용자보수	4.109	134.762	423.584	562.455	0	0	0	0	0
영업잉여	19.713	129.797	239.784	389.295	0	0	0	0	0
고정자본소모	4.82	88.965	145.353	239.137	0	0	0	0	0
생산세(보조금공제)	-0.317	48.909	62.455	111.047	0	0	0	0	0
조정항	2.69	-0.703	106.062	108.049	0	0	0	0	0
부가가치계	31.015	401.73	977.238	1409.983	0	0	0	0	0
총투입액	59.105	1430.838	1746.898	3236.841	0	0	0	0	0
