,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,3.225,39.057,11.897,54.18,17.007,1.655,0.687,19.35,73.53
공산품,17.751,925.393,350.855,1293.999,182.218,138.242,610.738,931.198,2225.197
서비스,7.137,261.663,575.308,844.109,855.675,349.704,105.526,1310.905,2155.013
중간투입계,28.113,1226.114,938.06,2192.287,1054.9,489.602,716.951,2261.453,4453.74
피용자보수,5.243,176.815,568.155,750.213,0.0,0.0,0.0,0.0,0.0
영업잉여,22.576,139.967,278.922,441.465,0.0,0.0,0.0,0.0,0.0
고정자본소모,4.828,114.82,190.021,309.67,0.0,0.0,0.0,0.0,0.0
생산세(보조금공제),0.61,53.438,82.055,136.103,0.0,0.0,0.0,0.0,0.0
부가가치계,33.258,485.04,1119.152,1637.451,0.0,0.0,0.0,0.0,0.0
총투입액,61.372,1711.154,2057.213,3829.738,0.0,0.0,0.0,0.0,0.0
