cons,old,new
AUS_HFCE,1,4
AUS_NPISH,2,4
AUS_GGFC,3,4
AUS_GFCF,4,4
AUS_INVNT,5,4
AUS_DPABR,6,4
AUT_HFCE,7,4
AUT_NPISH,8,4
AUT_GGFC,9,4
AUT_GFCF,10,4
AUT_INVNT,11,4
AUT_DPABR,12,4
BEL_HFCE,13,4
BEL_NPISH,14,4
BEL_GGFC,15,4
BEL_GFCF,16,4
BEL_INVNT,17,4
BEL_DPABR,18,4
CAN_HFCE,19,4
CAN_NPISH,20,4
CAN_GGFC,21,4
CAN_GFCF,22,4
CAN_INVNT,23,4
CAN_DPABR,24,4
CHL_HFCE,25,4
CHL_NPISH,26,4
CHL_GGFC,27,4
CHL_GFCF,28,4
CHL_INVNT,29,4
CHL_DPABR,30,4
COL_HFCE,31,4
COL_NPISH,32,4
COL_GGFC,33,4
COL_GFCF,34,4
COL_INVNT,35,4
COL_DPABR,36,4
CRI_HFCE,37,4
CRI_NPISH,38,4
CRI_GGFC,39,4
CRI_GFCF,40,4
CRI_INVNT,41,4
CRI_DPABR,42,4
CZE_HFCE,43,4
CZE_NPISH,44,4
CZE_GGFC,45,4
CZE_GFCF,46,4
CZE_INVNT,47,4
CZE_DPABR,48,4
DNK_HFCE,49,4
DNK_NPISH,50,4
DNK_GGFC,51,4
DNK_GFCF,52,4
DNK_INVNT,53,4
DNK_DPABR,54,4
EST_HFCE,55,4
EST_NPISH,56,4
EST_GGFC,57,4
EST_GFCF,58,4
EST_INVNT,59,4
EST_DPABR,60,4
FIN_HFCE,61,4
FIN_NPISH,62,4
FIN_GGFC,63,4
FIN_GFCF,64,4
FIN_INVNT,65,4
FIN_DPABR,66,4
FRA_HFCE,67,4
FRA_NPISH,68,4
FRA_GGFC,69,4
FRA_GFCF,70,4
FRA_INVNT,71,4
FRA_DPABR,72,4
DEU_HFCE,73,4
DEU_NPISH,74,4
DEU_GGFC,75,4
DEU_GFCF,76,4
DEU_INVNT,77,4
DEU_DPABR,78,4
GRC_HFCE,79,4
GRC_NPISH,80,4
GRC_GGFC,81,4
GRC_GFCF,82,4
GRC_INVNT,83,4
GRC_DPABR,84,4
HUN_HFCE,85,4
HUN_NPISH,86,4
HUN_GGFC,87,4
HUN_GFCF,88,4
HUN_INVNT,89,4
HUN_DPABR,90,4
ISL_HFCE,91,4
ISL_NPISH,92,4
ISL_GGFC,93,4
ISL_GFCF,94,4
ISL_INVNT,95,4
ISL_DPABR,96,4
IRL_HFCE,97,4
IRL_NPISH,98,4
IRL_GGFC,99,4
IRL_GFCF,100,4
IRL_INVNT,101,4
IRL_DPABR,102,4
ISR_HFCE,103,4
ISR_NPISH,104,4
ISR_GGFC,105,4
ISR_GFCF,106,4
ISR_INVNT,107,4
ISR_DPABR,108,4
ITA_HFCE,109,4
ITA_NPISH,110,4
ITA_GGFC,111,4
ITA_GFCF,112,4
ITA_INVNT,113,4
ITA_DPABR,114,4
JPN_HFCE,115,4
JPN_NPISH,116,4
JPN_GGFC,117,4
JPN_GFCF,118,4
JPN_INVNT,119,4
JPN_DPABR,120,4
KOR_HFCE,121,1
KOR_NPISH,122,1
KOR_GGFC,123,1
KOR_GFCF,124,1
KOR_INVNT,125,1
KOR_DPABR,126,1
LVA_HFCE,127,4
LVA_NPISH,128,4
LVA_GGFC,129,4
LVA_GFCF,130,4
LVA_INVNT,131,4
LVA_DPABR,132,4
LTU_HFCE,133,4
LTU_NPISH,134,4
LTU_GGFC,135,4
LTU_GFCF,136,4
LTU_INVNT,137,4
LTU_DPABR,138,4
LUX_HFCE,139,4
LUX_NPISH,140,4
LUX_GGFC,141,4
LUX_GFCF,142,4
LUX_INVNT,143,4
LUX_DPABR,144,4
MEX_HFCE,145,4
MEX_NPISH,146,4
MEX_GGFC,147,4
MEX_GFCF,148,4
MEX_INVNT,149,4
MEX_DPABR,150,4
NLD_HFCE,151,4
NLD_NPISH,152,4
NLD_GGFC,153,4
NLD_GFCF,154,4
NLD_INVNT,155,4
NLD_DPABR,156,4
NZL_HFCE,157,4
NZL_NPISH,158,4
NZL_GGFC,159,4
NZL_GFCF,160,4
NZL_INVNT,161,4
NZL_DPABR,162,4
NOR_HFCE,163,4
NOR_NPISH,164,4
NOR_GGFC,165,4
NOR_GFCF,166,4
NOR_INVNT,167,4
NOR_DPABR,168,4
POL_HFCE,169,4
POL_NPISH,170,4
POL_GGFC,171,4
POL_GFCF,172,4
POL_INVNT,173,4
POL_DPABR,174,4
PRT_HFCE,175,4
PRT_NPISH,176,4
PRT_GGFC,177,4
PRT_GFCF,178,4
PRT_INVNT,179,4
PRT_DPABR,180,4
SVK_HFCE,181,4
SVK_NPISH,182,4
SVK_GGFC,183,4
SVK_GFCF,184,4
SVK_INVNT,185,4
SVK_DPABR,186,4
SVN_HFCE,187,4
SVN_NPISH,188,4
SVN_GGFC,189,4
SVN_GFCF,190,4
SVN_INVNT,191,4
SVN_DPABR,192,4
ESP_HFCE,193,4
ESP_NPISH,194,4
ESP_GGFC,195,4
ESP_GFCF,196,4
ESP_INVNT,197,4
ESP_DPABR,198,4
SWE_HFCE,199,4
SWE_NPISH,200,4
SWE_GGFC,201,4
SWE_GFCF,202,4
SWE_INVNT,203,4
SWE_DPABR,204,4
CHE_HFCE,205,4
CHE_NPISH,206,4
CHE_GGFC,207,4
CHE_GFCF,208,4
CHE_INVNT,209,4
CHE_DPABR,210,4
TUR_HFCE,211,4
TUR_NPISH,212,4
TUR_GGFC,213,4
TUR_GFCF,214,4
TUR_INVNT,215,4
TUR_DPABR,216,4
GBR_HFCE,217,4
GBR_NPISH,218,4
GBR_GGFC,219,4
GBR_GFCF,220,4
GBR_INVNT,221,4
GBR_DPABR,222,4
USA_HFCE,223,3
USA_NPISH,224,3
USA_GGFC,225,3
USA_GFCF,226,3
USA_INVNT,227,3
USA_DPABR,228,3
ARG_HFCE,229,4
ARG_NPISH,230,4
ARG_GGFC,231,4
ARG_GFCF,232,4
ARG_INVNT,233,4
ARG_DPABR,234,4
BRA_HFCE,235,4
BRA_NPISH,236,4
BRA_GGFC,237,4
BRA_GFCF,238,4
BRA_INVNT,239,4
BRA_DPABR,240,4
BRN_HFCE,241,4
BRN_NPISH,242,4
BRN_GGFC,243,4
BRN_GFCF,244,4
BRN_INVNT,245,4
BRN_DPABR,246,4
BGR_HFCE,247,4
BGR_NPISH,248,4
BGR_GGFC,249,4
BGR_GFCF,250,4
BGR_INVNT,251,4
BGR_DPABR,252,4
KHM_HFCE,253,4
KHM_NPISH,254,4
KHM_GGFC,255,4
KHM_GFCF,256,4
KHM_INVNT,257,4
KHM_DPABR,258,4
CHN_HFCE,259,2
CHN_NPISH,260,2
CHN_GGFC,261,2
CHN_GFCF,262,2
CHN_INVNT,263,2
CHN_DPABR,264,2
HRV_HFCE,265,4
HRV_NPISH,266,4
HRV_GGFC,267,4
HRV_GFCF,268,4
HRV_INVNT,269,4
HRV_DPABR,270,4
CYP_HFCE,271,4
CYP_NPISH,272,4
CYP_GGFC,273,4
CYP_GFCF,274,4
CYP_INVNT,275,4
CYP_DPABR,276,4
IND_HFCE,277,4
IND_NPISH,278,4
IND_GGFC,279,4
IND_GFCF,280,4
IND_INVNT,281,4
IND_DPABR,282,4
IDN_HFCE,283,4
IDN_NPISH,284,4
IDN_GGFC,285,4
IDN_GFCF,286,4
IDN_INVNT,287,4
IDN_DPABR,288,4
HKG_HFCE,289,4
HKG_NPISH,290,4
HKG_GGFC,291,4
HKG_GFCF,292,4
HKG_INVNT,293,4
HKG_DPABR,294,4
KAZ_HFCE,295,4
KAZ_NPISH,296,4
KAZ_GGFC,297,4
KAZ_GFCF,298,4
KAZ_INVNT,299,4
KAZ_DPABR,300,4
LAO_HFCE,301,4
LAO_NPISH,302,4
LAO_GGFC,303,4
LAO_GFCF,304,4
LAO_INVNT,305,4
LAO_DPABR,306,4
MYS_HFCE,307,4
MYS_NPISH,308,4
MYS_GGFC,309,4
MYS_GFCF,310,4
MYS_INVNT,311,4
MYS_DPABR,312,4
MLT_HFCE,313,4
MLT_NPISH,314,4
MLT_GGFC,315,4
MLT_GFCF,316,4
MLT_INVNT,317,4
MLT_DPABR,318,4
MAR_HFCE,319,4
MAR_NPISH,320,4
MAR_GGFC,321,4
MAR_GFCF,322,4
MAR_INVNT,323,4
MAR_DPABR,324,4
MMR_HFCE,325,4
MMR_NPISH,326,4
MMR_GGFC,327,4
MMR_GFCF,328,4
MMR_INVNT,329,4
MMR_DPABR,330,4
PER_HFCE,331,4
PER_NPISH,332,4
PER_GGFC,333,4
PER_GFCF,334,4
PER_INVNT,335,4
PER_DPABR,336,4
PHL_HFCE,337,4
PHL_NPISH,338,4
PHL_GGFC,339,4
PHL_GFCF,340,4
PHL_INVNT,341,4
PHL_DPABR,342,4
ROU_HFCE,343,4
ROU_NPISH,344,4
ROU_GGFC,345,4
ROU_GFCF,346,4
ROU_INVNT,347,4
ROU_DPABR,348,4
RUS_HFCE,349,4
RUS_NPISH,350,4
RUS_GGFC,351,4
RUS_GFCF,352,4
RUS_INVNT,353,4
RUS_DPABR,354,4
SAU_HFCE,355,4
SAU_NPISH,356,4
SAU_GGFC,357,4
SAU_GFCF,358,4
SAU_INVNT,359,4
SAU_DPABR,360,4
SGP_HFCE,361,4
SGP_NPISH,362,4
SGP_GGFC,363,4
SGP_GFCF,364,4
SGP_INVNT,365,4
SGP_DPABR,366,4
ZAF_HFCE,367,4
ZAF_NPISH,368,4
ZAF_GGFC,369,4
ZAF_GFCF,370,4
ZAF_INVNT,371,4
ZAF_DPABR,372,4
TWN_HFCE,373,4
TWN_NPISH,374,4
TWN_GGFC,375,4
TWN_GFCF,376,4
TWN_INVNT,377,4
TWN_DPABR,378,4
THA_HFCE,379,4
THA_NPISH,380,4
THA_GGFC,381,4
THA_GFCF,382,4
THA_INVNT,383,4
THA_DPABR,384,4
TUN_HFCE,385,4
TUN_NPISH,386,4
TUN_GGFC,387,4
TUN_GFCF,388,4
TUN_INVNT,389,4
TUN_DPABR,390,4
VNM_HFCE,391,4
VNM_NPISH,392,4
VNM_GGFC,393,4
VNM_GFCF,394,4
VNM_INVNT,395,4
VNM_DPABR,396,4
ROW_HFCE,397,4
ROW_NPISH,398,4
ROW_GGFC,399,4
ROW_GFCF,400,4
ROW_INVNT,401,4
ROW_DPABR,402,4
