cons,old,new
ARG_HFCE,1,4
ARG_NPISH,2,4
ARG_GGFC,3,4
ARG_GFCF,4,4
ARG_INVNT,5,4
ARG_DPABR,6,4
AUS_HFCE,7,4
AUS_NPISH,8,4
AUS_GGFC,9,4
AUS_GFCF,10,4
AUS_INVNT,11,4
AUS_DPABR,12,4
AUT_HFCE,13,4
AUT_NPISH,14,4
AUT_GGFC,15,4
AUT_GFCF,16,4
AUT_INVNT,17,4
AUT_DPABR,18,4
BEL_HFCE,19,4
BEL_NPISH,20,4
BEL_GGFC,21,4
BEL_GFCF,22,4
BEL_INVNT,23,4
BEL_DPABR,24,4
BGD_HFCE,25,4
BGD_NPISH,26,4
BGD_GGFC,27,4
BGD_GFCF,28,4
BGD_INVNT,29,4
BGD_DPABR,30,4
BGR_HFCE,31,4
BGR_NPISH,32,4
BGR_GGFC,33,4
BGR_GFCF,34,4
BGR_INVNT,35,4
BGR_DPABR,36,4
BLR_HFCE,37,4
BLR_NPISH,38,4
BLR_GGFC,39,4
BLR_GFCF,40,4
BLR_INVNT,41,4
BLR_DPABR,42,4
BRA_HFCE,43,4
BRA_NPISH,44,4
BRA_GGFC,45,4
BRA_GFCF,46,4
BRA_INVNT,47,4
BRA_DPABR,48,4
BRN_HFCE,49,4
BRN_NPISH,50,4
BRN_GGFC,51,4
BRN_GFCF,52,4
BRN_INVNT,53,4
BRN_DPABR,54,4
CAN_HFCE,55,4
CAN_NPISH,56,4
CAN_GGFC,57,4
CAN_GFCF,58,4
CAN_INVNT,59,4
CAN_DPABR,60,4
CHE_HFCE,61,4
CHE_NPISH,62,4
CHE_GGFC,63,4
CHE_GFCF,64,4
CHE_INVNT,65,4
CHE_DPABR,66,4
CHL_HFCE,67,4
CHL_NPISH,68,4
CHL_GGFC,69,4
CHL_GFCF,70,4
CHL_INVNT,71,4
CHL_DPABR,72,4
CHN_HFCE,73,2
CHN_NPISH,74,2
CHN_GGFC,75,2
CHN_GFCF,76,2
CHN_INVNT,77,2
CHN_DPABR,78,2
CIV_HFCE,79,4
CIV_NPISH,80,4
CIV_GGFC,81,4
CIV_GFCF,82,4
CIV_INVNT,83,4
CIV_DPABR,84,4
CMR_HFCE,85,4
CMR_NPISH,86,4
CMR_GGFC,87,4
CMR_GFCF,88,4
CMR_INVNT,89,4
CMR_DPABR,90,4
COL_HFCE,91,4
COL_NPISH,92,4
COL_GGFC,93,4
COL_GFCF,94,4
COL_INVNT,95,4
COL_DPABR,96,4
CRI_HFCE,97,4
CRI_NPISH,98,4
CRI_GGFC,99,4
CRI_GFCF,100,4
CRI_INVNT,101,4
CRI_DPABR,102,4
CYP_HFCE,103,4
CYP_NPISH,104,4
CYP_GGFC,105,4
CYP_GFCF,106,4
CYP_INVNT,107,4
CYP_DPABR,108,4
CZE_HFCE,109,4
CZE_NPISH,110,4
CZE_GGFC,111,4
CZE_GFCF,112,4
CZE_INVNT,113,4
CZE_DPABR,114,4
DEU_HFCE,115,4
DEU_NPISH,116,4
DEU_GGFC,117,4
DEU_GFCF,118,4
DEU_INVNT,119,4
DEU_DPABR,120,4
DNK_HFCE,121,4
DNK_NPISH,122,4
DNK_GGFC,123,4
DNK_GFCF,124,4
DNK_INVNT,125,4
DNK_DPABR,126,4
EGY_HFCE,127,4
EGY_NPISH,128,4
EGY_GGFC,129,4
EGY_GFCF,130,4
EGY_INVNT,131,4
EGY_DPABR,132,4
ESP_HFCE,133,4
ESP_NPISH,134,4
ESP_GGFC,135,4
ESP_GFCF,136,4
ESP_INVNT,137,4
ESP_DPABR,138,4
EST_HFCE,139,4
EST_NPISH,140,4
EST_GGFC,141,4
EST_GFCF,142,4
EST_INVNT,143,4
EST_DPABR,144,4
FIN_HFCE,145,4
FIN_NPISH,146,4
FIN_GGFC,147,4
FIN_GFCF,148,4
FIN_INVNT,149,4
FIN_DPABR,150,4
FRA_HFCE,151,4
FRA_NPISH,152,4
FRA_GGFC,153,4
FRA_GFCF,154,4
FRA_INVNT,155,4
FRA_DPABR,156,4
GBR_HFCE,157,4
GBR_NPISH,158,4
GBR_GGFC,159,4
GBR_GFCF,160,4
GBR_INVNT,161,4
GBR_DPABR,162,4
GRC_HFCE,163,4
GRC_NPISH,164,4
GRC_GGFC,165,4
GRC_GFCF,166,4
GRC_INVNT,167,4
GRC_DPABR,168,4
HKG_HFCE,169,4
HKG_NPISH,170,4
HKG_GGFC,171,4
HKG_GFCF,172,4
HKG_INVNT,173,4
HKG_DPABR,174,4
HRV_HFCE,175,4
HRV_NPISH,176,4
HRV_GGFC,177,4
HRV_GFCF,178,4
HRV_INVNT,179,4
HRV_DPABR,180,4
HUN_HFCE,181,4
HUN_NPISH,182,4
HUN_GGFC,183,4
HUN_GFCF,184,4
HUN_INVNT,185,4
HUN_DPABR,186,4
IDN_HFCE,187,4
IDN_NPISH,188,4
IDN_GGFC,189,4
IDN_GFCF,190,4
IDN_INVNT,191,4
IDN_DPABR,192,4
IND_HFCE,193,4
IND_NPISH,194,4
IND_GGFC,195,4
IND_GFCF,196,4
IND_INVNT,197,4
IND_DPABR,198,4
IRL_HFCE,199,4
IRL_NPISH,200,4
IRL_GGFC,201,4
IRL_GFCF,202,4
IRL_INVNT,203,4
IRL_DPABR,204,4
ISL_HFCE,205,4
ISL_NPISH,206,4
ISL_GGFC,207,4
ISL_GFCF,208,4
ISL_INVNT,209,4
ISL_DPABR,210,4
ISR_HFCE,211,4
ISR_NPISH,212,4
ISR_GGFC,213,4
ISR_GFCF,214,4
ISR_INVNT,215,4
ISR_DPABR,216,4
ITA_HFCE,217,4
ITA_NPISH,218,4
ITA_GGFC,219,4
ITA_GFCF,220,4
ITA_INVNT,221,4
ITA_DPABR,222,4
JOR_HFCE,223,4
JOR_NPISH,224,4
JOR_GGFC,225,4
JOR_GFCF,226,4
JOR_INVNT,227,4
JOR_DPABR,228,4
JPN_HFCE,229,4
JPN_NPISH,230,4
JPN_GGFC,231,4
JPN_GFCF,232,4
JPN_INVNT,233,4
JPN_DPABR,234,4
KAZ_HFCE,235,4
KAZ_NPISH,236,4
KAZ_GGFC,237,4
KAZ_GFCF,238,4
KAZ_INVNT,239,4
KAZ_DPABR,240,4
KHM_HFCE,241,4
KHM_NPISH,242,4
KHM_GGFC,243,4
KHM_GFCF,244,4
KHM_INVNT,245,4
KHM_DPABR,246,4
KOR_HFCE,247,1
KOR_NPISH,248,1
KOR_GGFC,249,1
KOR_GFCF,250,1
KOR_INVNT,251,1
KOR_DPABR,252,1
LAO_HFCE,253,4
LAO_NPISH,254,4
LAO_GGFC,255,4
LAO_GFCF,256,4
LAO_INVNT,257,4
LAO_DPABR,258,4
LTU_HFCE,259,4
LTU_NPISH,260,4
LTU_GGFC,261,4
LTU_GFCF,262,4
LTU_INVNT,263,4
LTU_DPABR,264,4
LUX_HFCE,265,4
LUX_NPISH,266,4
LUX_GGFC,267,4
LUX_GFCF,268,4
LUX_INVNT,269,4
LUX_DPABR,270,4
LVA_HFCE,271,4
LVA_NPISH,272,4
LVA_GGFC,273,4
LVA_GFCF,274,4
LVA_INVNT,275,4
LVA_DPABR,276,4
MAR_HFCE,277,4
MAR_NPISH,278,4
MAR_GGFC,279,4
MAR_GFCF,280,4
MAR_INVNT,281,4
MAR_DPABR,282,4
MEX_HFCE,283,4
MEX_NPISH,284,4
MEX_GGFC,285,4
MEX_GFCF,286,4
MEX_INVNT,287,4
MEX_DPABR,288,4
MLT_HFCE,289,4
MLT_NPISH,290,4
MLT_GGFC,291,4
MLT_GFCF,292,4
MLT_INVNT,293,4
MLT_DPABR,294,4
MMR_HFCE,295,4
MMR_NPISH,296,4
MMR_GGFC,297,4
