cons,old,new
ARG_A01_02,1,10
ARG_A03,2,10
ARG_B05_06,3,11
ARG_B07_08,4,11
ARG_B09,5,11
ARG_C10T12,6,11
ARG_C13T15,7,11
ARG_C16,8,11
ARG_C17_18,9,11
ARG_C19,10,11
ARG_C20,11,11
ARG_C21,12,11
ARG_C22,13,11
ARG_C23,14,11
ARG_C24,15,11
ARG_C25,16,11
ARG_C26,17,11
ARG_C27,18,11
ARG_C28,19,11
ARG_C29,20,11
ARG_C30,21,11
ARG_C31T33,22,11
ARG_D,23,12
ARG_E,24,12
ARG_F,25,12
ARG_G,26,12
ARG_H49,27,12
ARG_H50,28,12
ARG_H51,29,12
ARG_H52,30,12
ARG_H53,31,12
ARG_I,32,12
ARG_J58T60,33,12
ARG_J61,34,12
ARG_J62_63,35,12
ARG_K,36,12
ARG_L,37,12
ARG_M,38,12
ARG_N,39,12
ARG_O,40,12
ARG_P,41,12
ARG_Q,42,12
ARG_R,43,12
ARG_S,44,12
ARG_T,45,12
AUS_A01_02,46,10
AUS_A03,47,10
AUS_B05_06,48,11
AUS_B07_08,49,11
AUS_B09,50,11
AUS_C10T12,51,11
AUS_C13T15,52,11
AUS_C16,53,11
AUS_C17_18,54,11
AUS_C19,55,11
AUS_C20,56,11
AUS_C21,57,11
AUS_C22,58,11
AUS_C23,59,11
AUS_C24,60,11
AUS_C25,61,11
AUS_C26,62,11
AUS_C27,63,11
AUS_C28,64,11
AUS_C29,65,11
AUS_C30,66,11
AUS_C31T33,67,11
AUS_D,68,12
AUS_E,69,12
AUS_F,70,12
AUS_G,71,12
AUS_H49,72,12
AUS_H50,73,12
AUS_H51,74,12
AUS_H52,75,12
AUS_H53,76,12
AUS_I,77,12
AUS_J58T60,78,12
AUS_J61,79,12
AUS_J62_63,80,12
AUS_K,81,12
AUS_L,82,12
AUS_M,83,12
AUS_N,84,12
AUS_O,85,12
AUS_P,86,12
AUS_Q,87,12
AUS_R,88,12
AUS_S,89,12
AUS_T,90,12
AUT_A01_02,91,10
AUT_A03,92,10
AUT_B05_06,93,11
AUT_B07_08,94,11
AUT_B09,95,11
AUT_C10T12,96,11
AUT_C13T15,97,11
AUT_C16,98,11
AUT_C17_18,99,11
AUT_C19,100,11
AUT_C20,101,11
AUT_C21,102,11
AUT_C22,103,11
AUT_C23,104,11
AUT_C24,105,11
AUT_C25,106,11
AUT_C26,107,11
AUT_C27,108,11
AUT_C28,109,11
AUT_C29,110,11
AUT_C30,111,11
