cons,old,new
ARG,1,3
AUS,2,3
AUT,3,3
BEL,4,3
BGD,5,3
BGR,6,3
BLR,7,3
BRA,8,3
BRN,9,3
CAN,10,3
CHE,11,3
CHL,12,3
CHN,13,2
CIV,14,3
CMR,15,3
COL,16,3
CRI,17,3
CYP,18,3
CZE,19,3
DEU,20,3
DNK,21,3
EGY,22,3
ESP,23,3
EST,24,3
FIN,25,3
FRA,26,3
GBR,27,3
GRC,28,3
HKG,29,3
HRV,30,3
HUN,31,3
IDN,32,3
IND,33,3
IRL,34,3
ISL,35,3
ISR,36,3
ITA,37,3
JOR,38,3
JPN,39,3
KAZ,40,3
KHM,41,3
KOR,42,1
LAO,43,3
LTU,44,3
LUX,45,3
LVA,46,3
MAR,47,3
MEX,48,3
MLT,49,3
MMR,50,3
MYS,51,3
NGA,52,3
NLD,53,3
NOR,54,3
NZL,55,3
PAK,56,3
PER,57,3
PHL,58,3
POL,59,3
PRT,60,3
ROU,61,3
RUS,62,3
SAU,63,3
SEN,64,3
SGP,65,3
SVK,66,3
SVN,67,3
SWE,68,3
THA,69,3
TUN,70,3
TUR,71,3
TWN,72,3
UKR,73,3
USA,74,3
VNM,75,3
ZAF,76,3
ROW,77,3
