권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
수도권,서울,A,농림수산품,농산품,1,1
수도권,서울,B,광산품,공산품,2,2
수도권,서울,C01,음식료품,공산품,3,2
수도권,서울,C02,섬유 및 가죽제품,공산품,4,2
수도권,서울,C03,"목재 및 종이, 인쇄",공산품,5,2
수도권,서울,C04,석탄 및 석유제품,공산품,6,2
수도권,서울,C05,화학제품,공산품,7,2
수도권,서울,C06,비금속광물제품,공산품,8,2
수도권,서울,C07,1차 금속제품,공산품,9,2
수도권,서울,C08,금속가공제품,공산품,10,2
수도권,서울,C09,"컴퓨터, 전자 및 광학기기",공산품,11,2
수도권,서울,C10,전기장비,공산품,12,2
수도권,서울,C11,기계 및 장비,공산품,13,2
수도권,서울,C12,운송장비,공산품,14,2
수도권,서울,C13,기타 제조업 제품,공산품,15,2
수도권,서울,C14,제조임가공 및 산업용 장비 수리,공산품,16,2
수도권,서울,D,"전력, 가스 및 증기",서비스,17,3
수도권,서울,E,"수도, 폐기물처리 및 재활용서비스",서비스,18,3
수도권,서울,F,건설,서비스,19,3
수도권,서울,G,도소매 및 상품중개서비스,서비스,20,3
수도권,서울,H,운송서비스,서비스,21,3
수도권,서울,I,음식점 및 숙박서비스,서비스,22,3
수도권,서울,J,정보통신 및 방송 서비스,서비스,23,3
수도권,서울,K,금융 및 보험 서비스,서비스,24,3
수도권,서울,L,부동산서비스,서비스,25,3
수도권,서울,M,"전문, 과학 및 기술 서비스",서비스,26,3
수도권,서울,N,사업지원서비스,서비스,27,3
수도권,서울,O,"공공행정, 국방 및 사회보장",서비스,28,3
수도권,서울,P,교육서비스,서비스,29,3
수도권,서울,Q,보건 및 사회복지 서비스,서비스,30,3
수도권,서울,R,"예술, 스포츠 및 여가 관련 서비스",서비스,31,3
수도권,서울,S,기타 서비스,서비스,32,3
수도권,서울,T,기타,서비스,33,3
수도권,인천,A,농림수산품,농산품,34,1
수도권,인천,B,광산품,공산품,35,2
수도권,인천,C01,음식료품,공산품,36,2
수도권,인천,C02,섬유 및 가죽제품,공산품,37,2
수도권,인천,C03,"목재 및 종이, 인쇄",공산품,38,2
수도권,인천,C04,석탄 및 석유제품,공산품,39,2
수도권,인천,C05,화학제품,공산품,40,2
수도권,인천,C06,비금속광물제품,공산품,41,2
수도권,인천,C07,1차 금속제품,공산품,42,2
수도권,인천,C08,금속가공제품,공산품,43,2
수도권,인천,C09,"컴퓨터, 전자 및 광학기기",공산품,44,2
수도권,인천,C10,전기장비,공산품,45,2
수도권,인천,C11,기계 및 장비,공산품,46,2
수도권,인천,C12,운송장비,공산품,47,2
수도권,인천,C13,기타 제조업 제품,공산품,48,2
수도권,인천,C14,제조임가공 및 산업용 장비 수리,공산품,49,2
수도권,인천,D,"전력, 가스 및 증기",서비스,50,3
수도권,인천,E,"수도, 폐기물처리 및 재활용서비스",서비스,51,3
수도권,인천,F,건설,서비스,52,3
수도권,인천,G,도소매 및 상품중개서비스,서비스,53,3
수도권,인천,H,운송서비스,서비스,54,3
수도권,인천,I,음식점 및 숙박서비스,서비스,55,3
수도권,인천,J,정보통신 및 방송 서비스,서비스,56,3
수도권,인천,K,금융 및 보험 서비스,서비스,57,3
수도권,인천,L,부동산서비스,서비스,58,3
수도권,인천,M,"전문, 과학 및 기술 서비스",서비스,59,3
수도권,인천,N,사업지원서비스,서비스,60,3
수도권,인천,O,"공공행정, 국방 및 사회보장",서비스,61,3
수도권,인천,P,교육서비스,서비스,62,3
수도권,인천,Q,보건 및 사회복지 서비스,서비스,63,3
수도권,인천,R,"예술, 스포츠 및 여가 관련 서비스",서비스,64,3
수도권,인천,S,기타 서비스,서비스,65,3
수도권,인천,T,기타,서비스,66,3
수도권,경기,A,농림수산품,농산품,67,1
수도권,경기,B,광산품,공산품,68,2
수도권,경기,C01,음식료품,공산품,69,2
수도권,경기,C02,섬유 및 가죽제품,공산품,70,2
수도권,경기,C03,"목재 및 종이, 인쇄",공산품,71,2
수도권,경기,C04,석탄 및 석유제품,공산품,72,2
수도권,경기,C05,화학제품,공산품,73,2
수도권,경기,C06,비금속광물제품,공산품,74,2
수도권,경기,C07,1차 금속제품,공산품,75,2
수도권,경기,C08,금속가공제품,공산품,76,2
수도권,경기,C09,"컴퓨터, 전자 및 광학기기",공산품,77,2
